job_title,company_name,job_summary,job_link,job_tech_stack
Master Data Management Analyst Trainee - Diákmunka,Mind-Diák Szövetkezet,"Delivery of actionable governance strategy within all master data domains for CHC ( Consumer HealthCare Global Business Unit ) Oversee continuous data cleansing and application of such policies across the CHC organization and within local Master Data Maintenance Teams Review, upd...",https://www.profession.hu/allas/master-data-management-analyst-trainee-diakmunka-mind-diak-szovetkezet-2247217?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['MICROSOFT OFFICE', 'DATA MANAGEMENT']"
Business Analyst (BI fejlesztő),MVM CEEnergy Zrt.,"A kereskedelmi és támogató területek fejlesztési igényeinek összegyűjtése, dokumentálása, illetve ezek transzformálása hatékony IT rendszer vagy riport fejlesztési specifikációkká MS PowerBI riportok, megoldások fejlesztése Riport és rendszer fejlesztések tesztelése Adattöltéseke...",https://www.profession.hu/allas/business-analyst-bi-fejleszto-mvm-ceenergy-zrt-budapest-2243534?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['BI', 'POWERBI', 'ADATTÁRHÁZ', 'ORACLE', 'SQL']"
Medior / Senior IT Business Analyst - Rendszerszervező,Nova Human Resources Kft.,Szervezői feladatok ellátása agilis vagy waterfall módszertan szerint működő dinamikus csapatban Rendszerkoncepciók és tervek készítése Kapcsolattartás ügyfelekkel,https://www.profession.hu/allas/medior-senior-it-business-analyst-rendszerszervezo-nova-human-resources-kft-budapest-2254583?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['SQL', 'UML', 'WEBSERVICE', 'XML', 'SOAPUI']"
Automation Analyst gyakornok diákmunka,MADS - Márton Áron Iskolaszövetkezet,"; Angol; Általános munkarend; Internships; Student work; High school; Data Analyst; Tester, Test... Engineer; Administration, Assistance, Office Work; IT Development; English; General work schedule Power bi; Excel BI; VBA; SECURITY; SAP; ORACLE...",https://www.profession.hu/allas/automation-analyst-gyakornok-diakmunka-mads-marton-aron-iskolaszovetkezet-budapest-2258586?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['BI', 'VBA', 'SECURITY', 'SAP', 'ORACLE']"
Adatirányítasi koordinátor (business analyst),Főpolgármesteri Hivatal,"Oktatás, mentorálás és kapcsolattartás a Főpolgármesteri Hivatal szakterületeivel Szervezeti adatszótár kialakításában való proaktív részvétel és koordinációs feladatok Függőségek felderítése, igények összegyűjtése és elemzése Folyamatok tervezése, dokumentálása, megújítása és op...",https://www.profession.hu/allas/adatiranyitasi-koordinator-business-analyst-fopolgarmesteri-hivatal-budapest-2248643?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Üzleti elemző/folyamatszervező,Magyar Autóklub,"az elsődleges feladat a Magyar Autóklub folyamataira vonatkozó folyamatmenedzseri és üzleti elemzői feladatok ellátása új üzleti igények megvalósításának támogatása meglévő folyamatok feltérképezése, szakmai egyeztetése, dokumentálása, folyamatjavító módosítások megfogalmazása, e...",https://www.profession.hu/allas/uzleti-elemzo-folyamatszervezo-magyar-autoklub-budapest-2243967?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Üzleti elemző,MVM Next Energiakereskedelmi Zrt.,"Az energia versenypiaci értékesítési működést és területi döntéshozatalt támogató elemzések és riportok elkészítése Facilitálja a megfelelő információ és adatáramlást az értékesítési szervezetek, vezetők és egyéb, kapcsolódó területek között Támogatja a szakterületi komplex adatb...",https://www.profession.hu/allas/uzleti-elemzo-mvm-next-energiakereskedelmi-zrt-budapest-2257722?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['MS OFFICE', 'SQL', 'CRM']"
Business analyst - contractor (LJF),Tech People Hungary Kft.,Collaborating with stakeholders to gather and understand business requirements. Translating business needs into clear and actionable technical requirements for Salesforce implementation. Playing a key role in demand management from the Salesforce perspective. Providing insights a...,https://www.profession.hu/allas/business-analyst-contractor-ljf-tech-people-hungary-kft-2247764?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Software Configuration Engineer,Eaton,"As Junior Software Configuration Engineer you will be part of in an international team supporting Eaton's high-end solution, Energy Power Monitoring System (EPMS). Our software offers real-time power and environmental system monitoring at a single facility or multiple locations t...",https://www.profession.hu/allas/software-configuration-engineer-eaton-2244988?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Functional Process Improvement Analyst (1-7-43563/PR),Grafton Recruitment,"Our highly prestigious partner company in the media sector is looking for a Functional Process Improvement Analyst in their Centre of Excellence. Your tasks would be: - Collaborate with other teams on planning, building and deploying automations - Plan and build simple automation...",https://www.profession.hu/allas/functional-process-improvement-analyst-pr-grafton-recruitment-2260757?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
